City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Sabha,LY,2022-11-18 09:47:41,27.0377,14.4283,75.25,15,6,9.69
188,Cockburn Town,TC,2022-11-18 09:47:42,21.4612,-71.1419,80.71,76,63,16.46
189,Krasnoselkup,RU,2022-11-18 09:47:42,65.7,82.4667,10.53,93,100,25.99
190,Jumla,NP,2022-11-18 09:47:43,29.2747,82.1838,58.59,29,0,6.08
191,Bambous Virieux,MU,2022-11-18 09:47:43,-20.3428,57.7575,80.85,47,20,9.22
192,Mount Isa,AU,2022-11-18 09:47:44,-20.7333,139.5,85.77,26,3,5.75
193,Provideniya,RU,2022-11-18 09:47:44,64.3833,-173.3,27.88,96,99,1.23
194,Usinsk,RU,2022-11-18 09:47:44,65.9939,57.5281,17.4,90,52,10.8
195,Egvekinot,RU,2022-11-18 09:47:45,66.3167,-179.1667,6.57,97,100,3.91
196,Sretensk,RU,2022-11-18 09:47:45,52.2453,117.7093,22.93,90,100,0.98
197,Kavieng,PG,2022-11-18 09:47:46,-2.5744,150.7967,81.72,68,78,10.16
198,Pomabamba,PE,2022-11-18 09:47:46,-8.8333,-77.4667,46.26,90,89,3.53
199,Fairview,US,2022-11-18 09:47:47,40.8126,-73.999,36.61,70,0,15.99
200,Sitka,US,2022-11-18 09:47:47,57.0531,-135.33,37.29,81,0,4.61
201,Iqaluit,CA,2022-11-18 09:47:48,63.7506,-68.5145,11.93,79,100,6.91
202,Nouadhibou,MR,2022-11-18 09:47:48,20.931,-17.0347,71.58,40,0,14.97
203,Georgetown,MY,2022-11-18 09:43:36,5.4112,100.3354,89.53,82,20,8.05
204,Russell,US,2022-11-18 09:45:17,32.3502,-85.1999,31.6,93,0,0.0
205,Iralaya,HN,2022-11-18 09:47:49,15.0,-83.2333,75.87,91,100,8.1
206,General Pico,AR,2022-11-18 09:47:49,-35.6566,-63.7568,70.2,53,76,12.06
207,Torbay,CA,2022-11-18 09:47:50,47.6666,-52.7314,39.58,78,75,31.07
208,Qasigiannguit,GL,2022-11-18 09:47:50,68.8193,-51.1922,23.25,95,100,5.88
209,Bengkulu,ID,2022-11-18 09:47:50,-3.8004,102.2655,78.76,88,59,10.96
